VAT-TYPE,PURCTYPE,PURCLEDGER,VATLEDGER,ADDLVATLEDGER,VATCLASS,ADDLVATCLASS,VATRATE,ADDLVATRATE
VAT 0%,VAT,Purchases - Exempt,,,Purchases - Exempt,,0,
VAT 5%,VAT,Purchase @ 5%,Input VAT @ 5%,,Input VAT @ 5%,,5,
CST 5%,CST,Purchase (5% CST),CST @ 5%,,InterState Purchases @ 5%,,5,0
VAT 15%,VAT,Purchase @ 15%,Input VAT @ 15%,,Input VAT @ 15%,,15,0
CST 15%,CST,Purchase (15% CST),CST @ 15%,,InterState Purchases @ 15%,,15,0
VAT 5.5%,VAT,Purchase @ 5.5%,Input VAT @ 5.5%,,Input VAT @ 5.5%,,5.5,
CST 5.5%,CST,Purchase (5.5% CST),CST @ 5.5%,,InterState Purchases @ 5.5%,,5.5,0
VAT 14.5%,VAT,Purchase @ 14.5%,Input VAT @ 14.5%,,Input VAT @ 14.5%,,14.5,0
CST 14.5%,CST,Purchase (14.5% CST),CST @ 14.5%,,InterState Purchases @ 14.5%,,14.5,0
CST 4%,CST,Purchase (4% CST),CST @ 4%,,InterState Purchases @ 4%,,4,0
CST 2%,CST,Purchase (2% CST),CST @ 2%,,InterState Purchases @ 2% Against Form C,,2,0

